entity,tweet_author,sentiment
BTK Inhibitors_CLL Skills Challenge,Medscape Education,neutral
BTK Inhibitors_CLL Skills Challenge_Cytopenias_CLL,Medscape Education,neutral
BTK Inhibitors_CLL Skills Challenge and Clinical Pearls Hematologic Events,Medscape Education,neutral
BTK Inhibitors_CLL Skills Challenge,Medscape Education,neutral
BTK Inhibitors_CLL Skills Challenge_NCCN Guidelines,Medscape Education,neutral
Optimizing the Use of BTK Inhibitors_CLL Skills Challenge and Clinical Pearls_BTK Inhibitors_FDAApproved_CLL,Medscape Education,neutral
FDA_CLL,CellworksLife,neutral
Learn,"COTA, Inc.",negative
Estamos_la máxima_CLL_Guadalajara_Centro Las Lomas,Centro Las Lomas,neutral
BTKis_#COVID #_CLL,Toby Eyre,neutral
CLL,Paperbirds_Hematology,neutral
CLL Experts_CLL,Paperbirds_Hematology,neutral
(),OncLive SOSS,neutral
FDA_#_CLL #_ChronicLymphocyticLeukemia,1stOncology,neutral
#Chronic #,Leukemia,negative
AJHSurvey_CLL,"Mazyar Shadman, MD MPH",positive
CLL_LEF Thanks to_CAP,"Sara Javidiparsijani, MD, FCAP",positive
Star Candlestick_today_#ROL #BBSN_FOG_VAL_RDT_#RB_CLL #_NTEA_TAN #_BEM,SwingTradeBot UK,neutral
first,CURE Magazine,neutral
Duties#CLL,"Cowan, Liebowitz",negative
Postdoc_Siena_CLL Please_RT,Anna Kabanova,positive
Chronic Lymphocytic Leukemia,Pharma News,negative
BCell Receptor Signaling for the Treatment_#Chronic #Lymphocytic_Leukemia,Leukemia,negative
#DNAmethylation profiles_ChronicLymphocyticLeukemia_#_between #epigenetics_#_CLL,Scientific Data,neutral
#Herbal Turmeric a Natural Prevention and Treatment_Chronic Lymphocytic Leukemia,The Curable Recipes,negative
NCICTEP_#_rituximab_CLL,NCI CTEP Clinical Research,neutral
Analysis,EurekaMag,negative
CME_CLL_Four_today_lymsm,RedMedEd,neutral
CLL_#UK CLL_#haematology #,CLLSA,neutral
CLL_NHL_@AACR,"CancerNetwork®, Home of the Journal ONCOLOGY®",neutral
BigData_los que podrás #_un_FormaciónOnline_CLL_Digital,datahack,neutral
FDA_rituximab,Jean Zhao,neutral
Michael Choi MD_#,OncLive SOSS,negative
Chronic Lymphocytic Leukemia Are Equipped to Handle the COVID,learn coronavirus Life,neutral
CLL,Paperbirds_Hematology,neutral
CLL,Paperbirds_Hematology,neutral
CLL,Paperbirds_Hematology,negative
(),Paperbirds_Hematology,neutral
CLL_CLL,Ariez BV,neutral
ASCO Abstract_CLL_#_#_MRD_Leukemia Final,Biotech2050,neutral
FDA Approves_Plus Rituximab_Chronic Lymphocytic Leukemia_CLL,NewExpressNews,negative
#Haematology #,ClinOwl Haematology,negative
BCR_#Haematology #,ClinOwl Haematology,negative
#_Bcell,AJCP,negative
Chronic Lymphocytic Leukemia_CLL_#_Watch_#leusm #_@SarahCannonDocs,Patient Power,positive
(),Teresa Martin,positive
CLL Diagnosis Watch and Wait,Teresa Martin,neutral
Chronic_CLL,Kathleen D. Hoffman,negative
Bcell_CLL,Paperbirds_Hematology,neutral
KMLExperten_EHA_CLL_#_Hodgkin_Myelom_CARTCells,Kompetenznetz Maligne Lymphome e.V.,neutral
years_Chronic Lymphocytic_CHO Anuba_Phek Village SCHWC_Phek,"Health & Wellness Center, Nagaland",negative
CLL_CLL_BTK_BCL_L L,"Dr. Paul DeSantis, PharmD",neutral
Michael Choi MD_#,OncLive SOSS,negative
the  American_CLLsm,Targeted Oncology,negative
(),Sehar Kanji.,positive
#,OncLive SOSS,negative
ICYMI,"CancerNetwork®, Home of the Journal ONCOLOGY®",neutral
Leukemia,Medivizor,negative
CLL_today_Irish_Brian Koffman,Michael Rynne,positive
Today_CLL_Brian Koffman_April  AM PDT PM EDT,CLL Society Inc.,negative
nearly a month_days_#_Mary Hernandez_yesterday_Mary s,MD Anderson Cancer Center,positive
Researchers_FDAapproved_Learn,Lankenau Institute,negative
Genmab_DuoHexaBodyCD_CDC_CLL_mAbs,E Lambrechts,neutral
first_Blood_first_CLL,Taylor Lab UM,neutral
lymsm,Lymphoma Papers,negative
New article Association of elevated_Bcell_MMSM,Paperbirds_Hematology,negative
Chronic Lymphocytic Leukemia_CLL,Paperbirds_Hematology,neutral
Stem_CLL,Paperbirds_Hematology,negative
BCR_CLL,Paperbirds_Hematology,negative
CLL,Paperbirds_Hematology,negative
(),Seema Ali Bhat,neutral
Katy Rezvani MD_CAR_#_CLLLearn_MedTwitter #Oncology #Medical,Oncology Learning Network,neutral
the Additional Funding Package A_#loans #_#_cll,"Cowan, Liebowitz",negative
#pharmacy #drug #_#Pemazyre #_Imbruvica #CLL_SLL,Ian Mackey Parnigoni,negative
Chronic Lymphocytic Leukemia  Expert_Imbruvica_CLL #Leusm #leukemia #_#,Patient Power,positive
Drs Joshua Brody Richard Bakst_Amir Steinberg MD_CLL@joshuabrodyMD  @IcahnMountSinai,The Tisch Cancer Institute,neutral
Leukemia,Medivizor,negative
Leukemia,Medivizor,negative
CLL_CLL_Tuesday_April  Webinar Just Diagnosed What Do I Need to Know Find_Dr Neil Kay &_Brian Koffman,CLL Society Inc.,negative
Bruton,Targeted Oncology,negative
Megakaryocytic_Chronic Myeloid_Multiple Myeloma,Cancer Papers,neutral
Megakaryocytic_Chronic Myeloid_Multiple Myeloma,Hematopoiesis,neutral
John M Burke MD &_Earn_CME_today,Vindico Medical Education,neutral
Chronic Lymphocytic Leukemia_CLL_Alison Mulholland_Amy Sheldrick_#leusm #,Patient Power,negative
CLL_@NutanJoshi @DigambarPanchal,𝗡𝗶𝗵𝗮𝗿 𝗗𝗲𝘀𝗮𝗶 𝗠𝗗🩸,positive
Chronic Lymphocytic Leukemia_CLL,Paperbirds_Hematology,neutral
CLL,Paperbirds_Hematology,neutral
Megakaryocytic_Chronic Myeloid_#,Paperbirds_Hematology,neutral
CLL_SLL,OncLive.com,neutral
CLL_first,Lorna Warwick,neutral
HealtheVoicesLIVE_HUGE TY_Gratitude Breakout Insightful &_CLL,Michele Nadeem-Baker,positive
FDA_IMBRUVICA_Rituximab,Cord Blood News,negative
HealtheVoicesLIVE_CLL,Michele Nadeem-Baker,positive
#venetoclax_the European Medicines Agency_L_CLL_GCLLSG,Michael Hallek,positive
NEW Longterm_Leukemia,Medivizor,negative
Middle Eastern_#HealtheVoicesLIVE #_CLL,Michele Nadeem-Baker,positive
CLL_#_lymsm,Toby Eyre,neutral
(),Kathleen Ebert,positive
Leukemia,Medivizor,negative
Dihydrodiol Metabolite_Lymphoid Malignancies_CLL,Paperbirds_Hematology,neutral
Lymphoid Neoplasia_a Retrospective Analysis of Warthin Tumor_CLL,Paperbirds_Hematology,negative
CLL,Paperbirds_Hematology,negative
CLL,Paperbirds_Hematology,neutral
Chronic_CLL,Kathleen D. Hoffman,negative
#_CLL_#leusm #leukemia #,Journal of the @NCCN,negative
Earlier this week_BTK_Imbruvica_CLL_Leukemia_GeneOnline,GeneOnline,neutral
#_May  Join_Jackie Broadway of @MDAndersonNews &_BTK_CLL &,Medscape Education,neutral
(),gerry melino,negative
OncoAlert_CLL_@BloodJournal  American Society of Hematology_CLLsm_lymsm,"Raul Cordoba, MD, PhD",neutral
CLL,Biotech2050,neutral
AlSawaf MD_#_CLL_#medtwitter #medicals #,Oncology Learning Network,neutral
a Randomized Dose Optimization Study of Chimeric Antigen Receptor Modified T Cells_Chronic Lymphocytic Leukemia  Journal of Clinical Oncology,F. Hernandez Mohedo,neutral
(),MitochondriaNews,negative
(),"CancerNetwork®, Home of the Journal ONCOLOGY®",neutral
next week_#lymphoma_CLL_#_lymsm,Lymphoma Hub,positive
LIVEWebinar_Lymphomtherapien_COVIDEmpfehlungen_Ärzte_Interessierte_Engert Anmeldung_CLL_NHL,Kompetenznetz Maligne Lymphome e.V.,neutral
CLL,Paperbirds_Hematology,negative
Bcell_CLL,Paperbirds_Hematology,neutral
the IgM Fc Receptor FcμR  _CLL,Paperbirds_Hematology,neutral
(),CLL Advocates Network,neutral
ICYMI @US_FDA_lymsm,OncLive.com,negative
(),Journal of Osteopathic Medicine,negative
Chronic Lymphocytic Leukemia_CLL_CMEcreditsClick_#Oncology #CityofHope #,Paradigm Med Comm,negative
CLL_Blood  American Society of Hematology_CLL,Benlazar S.M Aminé,neutral
CLL,Blood Journal,neutral
Imbruvica_CLL_FDA_JNJ_Imbruvica_CLL,Bionest Partners,neutral
FDA_rituximab_#chroniclymphocyticleukemia #_#,StemExpress,negative
Chaitra_CLL_@SeattleCCA_#SeattleCCA #,Oncology Tube,neutral
the ECOGACRIN Cancer Research Group_the National Cancer Institute_CLL,ECOG-ACRIN Cancer Research Group,positive
Leukemia,Medivizor,negative
Docs_CLL_CME_CLL_lymsm,RedMedEd,neutral
the BCell Receptor Pathway_Chronic Lymphocytic Leukemia Review_CLL,Paperbirds_Hematology,neutral
Application of CpG Oligodeoxynucleotide Immunostimulation_Chronic Lymphoblastic Leukemia_CLL,Paperbirds_Hematology,neutral
UK_CLL,Michael Rynne,positive
CLL_SpotLeukaemia_CovidUK,Leukaemia Care,positive
Leukemia,Medivizor,negative
US FDA Approves_IMBRUVICA_Plus Rituximab_Chronic Lymphocytic Leukemia_CLL,PressReleasePoint,negative
CLL_#_SLL_FDA_rituximab,Leukemia Research Foundation,positive
FDA_Chronic Lymphocytic_#lifesciences #biotechnology #,BioSpace,negative
US FDA Approves_IMBRUVICA_Plus Rituximab_Chronic Lymphocytic,Company News HQ,negative
CLL,CellworksLife,neutral
CLL_D &_Curious,"Erin Hickey, PharmD, BCOP",neutral
Chronic Lymphocytic_Leukemiaby Laura Patrussi_Nagaja Capitani_Cosima,Cancers MDPI,neutral
CLL_rituximab,Adam Kittai,negative
FDA_Imbruvica_ProjectOrbis_#_CLL_FDA_FDAApproved,Headwaters Communications,negative
FDA_Chronic Lymphocytic Leukemia,BioCalifornia,negative
ICYMI_US_FDA_#_CLL,JanssenUS,neutral
(),CLLSA,neutral
(),Big4Bio:Philly,neutral
CLL,Mayo Clinic Cancer Center,negative
CLL_@CruiseNorwegian_NCLH Stocks_June,Edsel Talbert,neutral
RareDisease FDA_Rituximab_Chronic Lymphocytic Leukemia,SeqComplete,neutral
Leukemia,Medivizor,negative
FDA_rituximab,The Oncologist,neutral
CARTcell_CLL_CR_months_CR_CR_month,"Thomas LeBlanc, MD, MA, MHS, FAAHPM",neutral
CLL,Paperbirds_Hematology,neutral
LiveWebinar_Aktuelle Therapiekonzepte_CARTZell_#_COVIDHinweisen,idw Nachrichten,neutral
CLL,Paperbirds_Hematology,positive
CoVid_Brazilian_CLL,Paperbirds_Hematology,neutral
CLL_nearly  weeks,Michael Rynne,negative
CLL_#leusm_ImmunoOnc #HemeOnc,VJHemOnc,neutral
FDA_rituximab,Dr. Baha Alrfaei د. بهاء,neutral
FDA_rituximab_FDA_CLL,Dr. Saadvik Raghuram y,negative
#_CLL_SLL Read more &gt &gt,The Leukemia & Lymphoma Society,negative
Leukemia,Medivizor,neutral
April   the_FDA_Imbruvica #_rituximab_CLL_SLLPI,"Bichoy Gabra, R.Ph., Ph.D.",neutral
US FDA Approves_IMBRUVICA_Plus Rituximab_Chronic Lymphocytic Leukemia_CLL,BuxMont Forum,negative
NEWS_US_FDA_CLL,Janssen Global,negative
US FDA Approves_IMBRUVICA_Plus Rituximab_Chronic Lymphocytic Leukemia_CLL_The Delaware County Daily Times,NwokeAgulu,negative
(),Cure Cancer Now,neutral
the Food and Drug Administration_IMBRUVICA Pharmacyclics_CLL,Society for Immunotherapy of Cancer,neutral
FDA_April   the US Food and Drug Administration FDA_IMBRUVICA Pharmacyclics_CLL_SLL,Lymphoma Research Foundation,neutral
FDA_CLL_@LalehAmiri,Javid Moslehi,negative
Learn_FDA_rituximab_CLL_SLL_Tait Shanafelt_#leusm #_#oncology #_CancerNews,Sarah Williams,neutral
Today_US_Learn,AACR Foundation,negative
FDA_rituximab_#,Targeted Oncology,neutral
Imbruvica_rituximab Rituxan,Oncology Nursing News,neutral
FDA_rituximab,Philip McCarthy,neutral
Today_#leukemia #_CLL,AACR,neutral
Ennio_hours,Kirk Kirlin,negative
FDA_#_rituximab,Guillaume P. Andrieu,neutral
FDA_rituximab_FDA,Kevin Wolcott,neutral
FDA_#,Rare Disease Report,neutral
New Drug Application_US_FDA_Learn_CLL,"Pharmacyclics, an AbbVie Company",negative
FDA_CLL,Brian Kenney,neutral
FDA_IMBRUVICA Pharmacyclics_lymsm,FDA Oncology,neutral
FDA_rituximab_CLL_SLL,Kerri Wachter,neutral
$CLRB Douglas_Chronic Lymphocytic Leukemia Survivor &_@LLSusa_LLSVolunteer #,Cellectar Biosciences,positive
CLL,"Mazyar Shadman, MD MPH",positive
Chronic Lymphocytic Leukemia,Oncology Tube,negative
#,BD Biosciences,negative
Senior Instructor of Management_Brenda Eichelberger_earlier this month_many years,PSU School of Business,negative
the CARES Act_#CARESAct #_CLL,"Cowan, Liebowitz",negative
Impulsa_tu carrera_nuestro #_#_ApacheSpark Profundiza_Comenzamos_Junio Más_FormaciónOnline_CLL_Digital,datahack,neutral
(),CURE Magazine,negative
Immunophenotypic Characteristics of Monoclonal BCell Lymphocytosis_Healthy Korean Individuals With Lymphocytosis_#CLL #,Paperbirds_Hematology,neutral
article Functional Differences Between EBV and_CMVSpecific_CLL_CLL,Paperbirds_Hematology,neutral
Chronic Lymphocytic Leukemia Complicated_Autoimmune Hemolytic_#CLL #,Paperbirds_Hematology,negative
CLL,Paperbirds_Hematology,negative
CLL,Paperbirds_Hematology,neutral
CLL_the spread &_Covid_CLL_CLL &_SLL_PAGC,CLLSA,positive
CLL_two_@UKKoeln,CLL Advocates Network,neutral
Leukemia,Medivizor,negative
CLL,AIM Alerts!,neutral
Ibrutinib_l_Leukemia,Medivizor,neutral
(),Hematology Advisor,neutral
Rod Humerickhouse AbbVie_CLL_@cll_s International Workshop_CLL_Chronic Lymphocytic Leukemia,CheckRare,positive
Ofatumumab Lenalidomide_CLL,ClinicalTrialsData,neutral
Chronic Lymphocytic Leukaemia_CLL,Paperbirds_Hematology,negative
Leukemia,Medivizor,negative
CLL,OncLive SOSS,neutral
Chronic_CLL,Kathleen D. Hoffman,negative
(),Mayo Clinic Cancer Center,negative
Venetoclax_CLL_TLS Really_CLL#TEAMHAEM,Thomas Lofaro,neutral
(),OncLive SOSS,neutral
Warm Autoimmune Hemolytic Anemia Clinical Profile and Management_CLL,Paperbirds_Hematology,neutral
Herpes Simplex Necrotic Lymphadenitis Masquerading_lymsm,Lymphoma Papers,negative
l_Leukemia,Medivizor,positive
The Connect CLL Registry_US_CLL,Blood Advances,neutral
(),TumorImmunoPapers,negative
Chronic Lymphocytic LeukemiaMore,SpecialtyPTimes,negative
CLL,Paperbirds_Hematology,negative
CLL_Capnocytophaga_CLL,Paperbirds_Hematology,neutral
Herpes Simplex Necrotic Lymphadenitis Masquerading_CLL,Paperbirds_Hematology,negative
Chronic Lymphocytic Leukemia A Systematic Review_CLL,Paperbirds_Hematology,negative
CLL,Paperbirds_Hematology,neutral
Holothuria_CLL,Paperbirds_Hematology,neutral
Michael Choi MD_#,OncLive SOSS,negative
(),Seema Ali Bhat,neutral
May_as @LeakBryantPhD of @UNC &_BTK_CLLREGISTER,Medscape Education,negative
Chronic Lymphocytic Leukemia_CLL_#_CMEcredits_#Oncology #CityofHope #,Paradigm Med Comm,negative
CLL_Venetoclax,Dr L Boominathan PhD,neutral
CLL_Ibrutinib_August,Dr L Boominathan PhD,neutral
CLL_Venetoclax_August,Dr L Boominathan PhD,neutral
CLL_Venetoclax_Ibrutinib_June   am,Dr L Boominathan PhD,neutral
(),OncLive SOSS,negative
Leukemia,Medivizor,negative
#_#EyeForPharma #_CLL,WEGO Health,positive
one_Cytokine_#EFPVirtual_Covid_CLL,WEGO Health,neutral
CLL,UK Chronic Lymphocytic Leukaemia (CLL) Forum,neutral
a Randomized Dose Optimization Study of Chimeric Antigen Receptor Modified T Cells_Chronic Lymphocytic Leukemia  Journal of Clinical Oncology,"Hayder Saeed, MD",neutral
CLL,Anthony Mato,positive
ERC Consolidator,AcademicTransfer,neutral
CLL,Adam Kittai,neutral
CLL,Paperbirds_Hematology,neutral
a Randomized Dose Optimization Study of Chimeric Antigen Receptor Modified T Cells_Chronic Lymphocytic Leukemia_CLL,Paperbirds_Hematology,neutral
Inhibition of CDK_Bcl_myeloid_CLL,Paperbirds_Hematology,negative
CLL #OnlineTraining,BSI UK,positive
CLL,AIM Alerts!,neutral
CLL,CLL Ireland,positive
CELG Phase  Ofatumumab Methylprednisolone_Ofatumumab Lenalidomide_CLL,ClinicalTrialsData,neutral
CLL_today_CLL,Michael Rynne,positive
lymsm,Lymphoma Papers,negative
Leukemia,Medivizor,negative
Michael Choi MD_#,OncLive SOSS,negative
a Randomized Dose Optimization Study of Chimeric Antigen Receptor Modified T Cells_Chronic Lymphocytic_Leukemia_#Tcellrx #,"Bruce Levine, Ph.D.",neutral
#_CLL_Tuesday April,STTR Cancer,neutral
leukemia lo  _Leukemia,Medivizor,neutral
ICYMI Researchers,"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
EMA_BIBrandsRUXIENCE_nonHodgkin,"Brand Institute, Inc",positive
the CARES Act_#covid #employees_#CARESact #,"Cowan, Liebowitz",negative
Prognostic_Chronic Lymphocytic Leukaemia_CLL,Paperbirds_Hematology,neutral
Merkel Cell Carcinoma_CLL,Paperbirds_Hematology,negative
CLL,Paperbirds_Hematology,neutral
BCL Proteins in Pathogenesis and Therapy of BCell NonHodgkin Lymphomas  _CLL,Paperbirds_Hematology,neutral
Duvelisib_#FL #_#,Paperbirds_Hematology,negative
Novel Targeted Therapies for Chronic Lymphocytic Leukemia_Elderly Patients A Systematic Review,Paperbirds_Hematology,negative
PCP %_CLL,Pallawi Torka,neutral
Leukemia,Medivizor,negative
Chronic Lymphocytic Leukemia_Elderly Patients A Systematic Review_lymsm,Lymphoma Papers,negative
WEBINAR Epigenetic Tools_#webinar #,Epigenetics Podcast,neutral
Chronic Lymphocytic Leukemia Treatment PDQPatient Version,Interesting Weird Facts,neutral
CLL,Seema Ali Bhat,neutral
Christine Ryan_PJP_CLL_#,Matthew P. Cheng,negative
CLL,Blood Journal,negative
AdvancedPractitioners_CLL_@JADPRO,APSHO,negative
@wwierda of @MDAndersonNews_#Leukemia#endcancer_CLL #,MD Anderson Leukemia,negative
#CLL #_#haematology #,CLLSA,neutral
#cancertips #,Coping with Cancer,negative
first_CLL_Bcell_CLL,ClinOwl Haematology,negative
(),ImmunologyPapers,neutral
CLL,Paperbirds_Hematology,neutral
nonHodgkin_Germany_CLL,Paperbirds_Hematology,neutral
Survival_CLL_CLL,Paperbirds_Hematology,neutral
CLL,Paperbirds_Hematology,neutral
Ib II PCYC,Targeted Oncology,neutral
NCA_Noncorona_#CLL #,Ind J Med Ped Oncology,neutral
Refractory Chronic Lymphocytic Leukemia_NonHodgkin LymphomaNCT Estimated Primary Completion Date,ClinicalTrialsData,neutral
(),ClinicalTrialsData,neutral
ASH_CLL_Venetoclax_CLL,Brave Is Now®,neutral
CLL_CLL_CLL_Friday_April_MT   PM CT   PM ET Register,CLL Society Inc.,neutral
#_CLL_#,Benlazar S.M Aminé,neutral
CLL Registry_US_American Society of Hematology_CLLsm_lymsm,"Raul Cordoba, MD, PhD",neutral
Profiling and Bioinformatics Analyses,Transcriptomes,neutral
Leukemia,Medivizor,negative
NonHodgkins Lymphoma Acute Lymphocytic Leukemia_Chronic Lymphocytic Leukemia_Lymphoma,Sound Choice,negative
CLL_CLL,Ex Dividend Date,neutral
CLL Cello Health PLC Holdings,AIM Alerts!,neutral
EyeForPharma_CLL,WEGO Health,positive
NeverUsed Registered_#trademarkabandonment #_CLL,"Cowan, Liebowitz",negative
NonHodgkins Lymphoma Acute Lymphocytic Leukemia_Chronic Lymphocytic Leukemia_Lymphoma,AVM Biotechnology,neutral
CLL_CLL_the previous  _decades,David Henry,negative
Profiling and Bioinformatics Analyses,CLL-seq,neutral
Profiling and Bioinformatics Analyses_CLL,Paperbirds_Hematology,neutral
Pneumocystis_CLL_BTK_CLL,Paperbirds_Hematology,neutral
Antiplatelet Therapy_CLL,Paperbirds_Hematology,neutral
Korean_CLL,Paperbirds_Hematology,negative
CLL,Dr.Virendra Singh,neutral
ERIC_#Haematology #,ClinOwl Haematology,neutral
CLL,"Mazyar Shadman, MD MPH",positive
first_Leukemia_CLL_Bcell_CLL,"Andreas-Claudius Hoffmann, M.D.",negative
@eyeforpharma_CLL_#leukemia #,Michele Nadeem-Baker,neutral
Chronic_CLL,Kathleen D. Hoffman,negative
week_HSE &_UK_CLL_Tuesday_pm &,CLL Ireland,positive
Leukemia,Medivizor,neutral
CLL,𝗡𝗶𝗵𝗮𝗿 𝗗𝗲𝘀𝗮𝗶 𝗠𝗗🩸,negative
(),Medivizor,negative
three,Clinical Lab Manager,negative
International Prognostic Score for Asymptomatic Earlystage Chronic Lymphocytic Leukemia  Blood  American Society of Hematology,"Eduardo Anguita, MD, PhD",neutral
Leukemia,Medivizor,negative
first_CLL_Bcell_CLL_CLL,Paperbirds_Hematology,negative
Clin_#_CLL_#_MCL_dlbcl_Hernandezlab,Pallawi Torka,neutral
Pfizer Inc,Cord Blood News,negative
#leukemia #,Targeted Oncology,negative
Cancer Learning,Francis Chartier,neutral
Hsa_circ_HeLa_CLL,Paperbirds_Hematology,neutral
(),Drugs Caps,negative
Chronic Lymphocytic Leukemia,Drugs Caps,neutral
#,Targeted Oncology,negative
ICYMI Researchers,"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
CLL_Easter,CLL Ireland,positive
Chronic Lymphocytic Leukemia,Drugs Caps,negative
Duvelisib Promising_Chronic Lymphocytic Leukemia_SLL,Drugs Caps,negative
FDA_Chronic Lymphocytic Leukemia,Drugs Caps,neutral
Chronic Lymphocytic Leukemia_Michael Choi_Jeff Sharman_CLL,Patient Power,negative
CLL_Telehealth_this week_CLL_Telehealth,Patient Power,neutral
Leukemia,Medivizor,negative
CLL_Prognostic Score for Asymptomatic Earlystage Chronic Lymphocytic Leukemia  Blood  American Society of Hematology,Toby Eyre,neutral
ERIC,CompBiolPapers,neutral
ERIC,CLL-seq,neutral
Resistance,LiteratureFeed,negative
Chronic Lymphocytic Leukemia_the Context of Chemoimmunotherapy and Novel Targeted Therapy_lymsm,Lymphoma Papers,negative
article Regulation of Selective B Cell Autophagy_CLL,Paperbirds_Hematology,negative
HSV Encephalitis_Elderly Man Receiving Ibrutinib_CLL,Paperbirds_Hematology,neutral
ERIC_CLL,Paperbirds_Hematology,neutral
An Updated Perspective on Current Prognostic and Predictive Biomarkers_Chronic Lymphocytic Leukemia_the Context of Chemoimmunotherapy and Novel Targeted Therapy_CLL,Paperbirds_Hematology,negative
(),Juan Marquet,neutral
OncoAlert_CLL_@BloodJournal  American Society of Hematology_CLLsm_lymsm,"Raul Cordoba, MD, PhD",neutral
ERIC,Richard Rosenquist Brandell,neutral
CLL_SLL_FL Status Not_Lymphoma,TrialBulletin,neutral
(),Cancer epigenetics papers 📚,negative
Chronic_CLL,Kathleen D. Hoffman,negative
#cllsm #,Targeted Oncology,negative
BTK_CLL,CURE Magazine,negative
Leukemia,Medivizor,negative
bioRxiv,bioRxiv,negative
International Prognostic Score for Asymptomatic Earlystage Chronic Lymphocytic Leukemia_#Haematology #,ClinOwl Haematology,negative
lyle_dk_lyle@lyledk el Tlf     #_Vi_#blodkræft_#_#all #_#cml #cmml #_#leukæmi #_mds,LyLe Foreningen,neutral
The Connect CLL Registry_US,Cancer Papers,neutral
PIKinhibitors_CLL_SLL_#FL REAL_Duvelisib_#,CrozrX,negative
CLL_Expert Nicole Lamanna_#COVIDncancer #,ColumbiaCancer,positive
Leukemia,Medivizor,negative
BCell NonHodgkin_Lymphomasby Magdalena Klanova_Pavel Klener,Cancers MDPI,neutral
#tool  _#chronic #lymphocytic #_CLL #_#_#study #,giacomo paoletti,negative
RSP_#_#Respirator_#N #corona,Ravispecialitiespharma_RSP,negative
The Connect CLL Registry_US_CLL,Paperbirds_Hematology,neutral
Up to half_México_CLL,Paperbirds_Hematology,negative
Prognostic Score for Asymptomatic Earlystage Chronic Lymphocytic_Leukemia_CLL,"Andreas-Claudius Hoffmann, M.D.",negative
Chronic Lymphocytic Leukemia Changes,WhatNext.com,neutral
Chronic Lymphocytic Leukemia Version_April,CLL Advocates Network,neutral
Jumanji_CLL,21,neutral
LOXO_CLL_lymsm,Toby Eyre,positive
#COVID s_CLL,"chadi nabhan MD, MBA, FACP",neutral
CLL_UK,UK Chronic Lymphocytic Leukaemia (CLL) Forum,neutral
Dr Wei Ding_CLL_#,Mayo Clinic Cancer Center,negative
The Connect CLL Registry_US,Young Hematologists,neutral
CLL @Bloodjournal International Prognostic Score for Asymptomatic Earlystage Chronic Lymphocytic Leukemia  Blood  American Society of Hematology,Adam Kittai,neutral
(),Oncology Central,negative
Bendamustine_Leukemia,Medivizor,negative
CLL_#,CancerTherapyAdvisor,neutral
CLL_half_Mexican_@VincentRK_@mpdrc,Guillermo Ruiz-Argüelles,neutral
International Prognostic Score for Asymptomatic Earlystage Chronic Lymphocytic Leukemia  Blood  American Society of Hematology,Richard Rosenquist Brandell,neutral
Bcell_CLL,Paperbirds_Hematology,negative
article International Prognostic Score for Asymptomatic Earlystage Chronic Lymphocytic Leukemia_CLL,Paperbirds_Hematology,neutral
Keratinocyte Carcinoma_CLL,Paperbirds_Hematology,neutral
Second_BTK_CLL_CLL,Paperbirds_Hematology,neutral
Bcells_CLL_CLL,Paperbirds_Hematology,neutral
Chinese_EORTC_CLL,Paperbirds_Hematology,neutral
(),StressMarq,positive
tonight  pm_EDTno_AML #MultipleMyeloma_Leukemia_#_CLL,AnCan,neutral
(),OncLive SOSS,neutral
International Prognostic Score for Asymptomatic Earlystage Chronic Lymphocytic Leukemia  Blood  American Society of Hematology,Juan Marquet,neutral
International Prognostic Score for Asymptomatic Earlystage Chronic Lymphocytic Leukemia  Blood  American Society of Hematology,ALI ALAHMARI.,neutral
ICYMI Medicare,"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
Chronic Lymphocytic Leukemia  Watch_Nicole Lamanna_CLL,Patient Power,negative
CLL,ILLINOIS Social Work,positive
CLL,ASH,negative
#cll webinar,Leukaemia Care,neutral
Less than  minutes_Prof Chris Fegan_CLL,Leukaemia Care,neutral
CLL_NCI_IL,NIH Clinical Center,neutral
CLL_#UK &_#_#staysafe #vulnerable,CLLSA,neutral
Japan_MRD_CLL,Paperbirds_Hematology,neutral
#leusm #_ImmunoOnc #,VJHemOnc,negative
Dr Barr_Umbralisib_Ublituximab,Biotech2050,neutral
(),NCI Media Relations,neutral
Chronic Lymphocytic Leukemia Mimicking_Septic Arthritis,Cancer Papers,negative
(),"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
OncoAlert BTK_CLL_@BloodJournal  American Society of Hematology_CLLsm_lymsm,"Raul Cordoba, MD, PhD",neutral
Cello_at least #_CLL,Investor's Champion,neutral
NEW VIRTUAL_April_Free Dropin_AML #MultipleMyeloma_Leukemia_#_CLL_@IMFmyeloma,AnCan,positive
CLL Cello Health PLC_CLL,Ruth Gemmell,neutral
Patent &_US Patent and Trademark Office Extends Various Filing_#USPTO #_CLL,"Cowan, Liebowitz",negative
Cello Health PLC,Andrew Scott,neutral
CLL Cello Health PLC_CLL,Proactive,neutral
the Phase Ib II Clinical Study of Bcl Inhibitor,Crwe World,neutral
#Ascentage Pharma Announces CNMPA Approval_the Phase Ib II Clinical Study of Bcl Inhibitor_China,Odi Bruckman,neutral
lymsm,Lymphoma Papers,neutral
CLL,Paperbirds_Hematology,negative
